Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
RU,Saint Petersburg,Line 5,Line 5 extension,2013,2019,0,6.4,97.00%,6.2,0,0,3,,Measured,"44,600",RUB,2016,0.041,1828.6,285.7,1.334248584,"2,439.8",381.2,Media,http://krti.gov.spb.ru/press/news/52016/?category=17,,,,
RU,Moscow,Line 1,Line 1 extension,2016,2019,0,11.6,14.00%,1.6,0.14,9.836,4,,Wiki,"41,033",RUB,2018,0.04,1641.31476,141.5,1.275269108,"2,093.1",180.4,Plan,https://zakupki.gov.ru/epz/order/notice/oku44/view/supplier-results.html?regNumber=0173200001418000217,,,,
CZ,Prague,Line A,Line A extension,2010,2015,0,6.1,97.00%,5.9,0,0.2,4,,Wiki,"20,200",CZK,2012,0.0752,1519.04,249.0,1.394762058,"2,118.7",347.3,Trade,https://www.railjournal.com/passenger/metros/prague-opens-metro-line-a-western-extension/,,,,
HU,Budapest,Line 4,Line 4,2006,2014,0,7.4,100.00%,7.4,0,0,10,,Trade,"452,000",HUF,2010,0.00792,3579.84,483.8,1.468563121,"5,257.2",710.4,Plan,https://www.europarl.europa.eu/doceo/document//P-8-2017-000299_EN.html,,,,
FR,Toulouse,Line 3,Line 3,2021,2025,0,27,60.00%,16.2,0,0,21,,Plan,"2,670",EUR,2016,1.3,3471,128.6,1.334248584,"4,631.2",171.5,Plan,https://www.toulousemetro3.fr/le-projet/3eme-ligne.html,,,,
IT,Turin,Line 1,Line 1 phases 1-3,2000,2011,0,13.2,100.00%,13.2,0,0,21,55,agency,"1,138",EUR,2005,1.25,1422.5,107.8,1.639677419,"2,332.4",176.7,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86,,,,
IT,Turin,Line 1,Line 1 south (phase 4),2012,2021,0,1.9,100.00%,1.9,0,0,2,55,agency,189,EUR,2016,1.3,245.7,129.3,1.334248584,327.8,172.5,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86,,,,
IT,Turin,Line 1,Line 1 west (phase 5),2018,2024,0,3.4,100.00%,3.4,0,0,4,55,agency,340,EUR,2020,1.3,442,130.0,1.237308306,546.9,160.9,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86,,,,
FI,Helsinki,West Metro,West Metro phase 1,2009,2017,0,13.5,100.00%,13.5,0,0,8,135,Measured,"1,171",EUR,2013,1.3,1522.3,112.8,1.374627077,"2,092.6",155.0,Plan,https://www.lansimetro.fi/en/contact-information/faq/,,,,
FI,Helsinki,West Metro,West Metro phase 2,2014,2023,0,7,100.00%,7,0,0,5,90,Plan,"1,159",EUR,2018,1.35,1564.65,223.5,1.275269108,"1,995.3",285.0,Plan,https://www.lansimetro.fi/en/contact-information/faq/,,,,
